MofName,CO2Fraction,Pressure[bar],AdsCO2,AdsN2,AdsCO2Predicted,AdsN2Predicted,SymlogAbsLoadingCO2Predicted,SymlogAbsLoadingN2Predicted,AdsCO2PredictedPure,AdsN2PredictedPure,AdsCO2GCMCIast,AdsN2GCMCIast,AdsCO2MLIast,AdsN2MLIast,AdsCO2MLPureIast,AdsN2MLPureIast
ddmof_1008,0.0,0.01,,0.0025203,,0.0023780296587278637,,1.3706753,,0.0022478767758620606,,0.0024459140791468085,,0.0024681497431830283,,0.0023216040637227286
ddmof_1008,0.0,0.05,,,,,,2.067516,,0.011581967670279287,,,,,,
ddmof_1008,0.0,0.1,,0.0248732,,0.024354866706402103,,2.370875,,0.023389566394748845,,0.02444734860758034,,0.024668152568978606,,0.023216040637227285
ddmof_1008,0.0,0.2,,0.050508,,0.04889798269745798,,2.6722176,,0.04691296045235625,,0.04886851901920028,,0.049306683716589673,,0.04643208127445457
ddmof_1008,0.0,0.3,,0.0737481,,0.07317899424429641,,2.845588,,0.06997901678313481,,0.07326355325973803,,0.07391564676474964,,0.06964812191168186
ddmof_1008,0.0,0.4,,0.0985507,,0.09853998555752358,,2.9777107,,0.09489717706699909,,0.09763249326416766,,0.09849509490747109,,0.09286416254890914
ddmof_1008,0.0,0.5,,0.1260463,,0.12143705258716084,,3.0674803,,0.11671007425278268,,0.12197538087779945,,0.12304508121124584,,0.11608020318613642
ddmof_1008,0.0,0.6,,0.1504955,,0.14695395185008475,,3.145829,,0.13980363546665467,,0.14629225785651934,,0.14756565861542714,,0.13929624382336372
ddmof_1008,0.0,0.7,,0.1664024,,0.17053283245597564,,3.2129245,,0.16317680743691876,,0.17058316586702768,,0.17205687993260993,,0.162512284460591
ddmof_1008,0.0,0.8,,0.1977138,,0.19751581599915405,,3.2806563,,0.19073424014928092,,0.1948481464870772,,0.19651879784901005,,0.18572832509781828
ddmof_1008,0.0,0.9,,0.2196505,,0.21892283696318082,,3.3352942,,0.21631840900113325,,0.21908724120571035,,0.22095146492484222,,0.20894436573504555
ddmof_1008,0.0,1.0,,0.2505144,,0.24076184016247398,,3.3831208,,0.24151327938306255,,0.24330049142349566,,0.24535493359469626,,0.23216040637227284
ddmof_1008,0.0,2.0,,0.4889455,,0.49187835948824016,,3.6791508,,0.47759511485800904,,0.48402059139059,,0.4877951544994057,,0.4643208127445457
ddmof_1008,0.0,3.0,,0.7296063,,0.736660781699746,,3.842172,,0.6951996327566132,,0.7222011339584529,,0.7273722943614052,,0.6964812191168185
ddmof_1008,0.0,4.0,,0.9736983,,0.9701690984445668,,3.961785,,0.9156670221141165,,0.957882096120045,,0.9641367725056453,,0.9286416254890913
ddmof_1008,0.0,5.0,,1.1802605,,1.1996467993287876,,4.0602202,,1.148635916559933,,1.1911026201728467,,1.1981378313090927,,1.160802031861364
ddmof_1008,0.0,6.0,,1.4123398,,1.43668736438128,,4.135645,,1.366511276648424,,1.4219010353906565,,1.4294235703436307,,1.392962438233637
ddmof_1008,0.0,7.0,,1.6406505,,1.657321621385048,,4.206414,,1.6083738326335262,,1.6503148790236615,,1.6580409793372486,,1.6251228446059098
ddmof_1008,0.0,8.0,,1.8792229,,1.8646688246313567,,4.2731857,,1.8756964084962948,,1.8763809166509449,,1.8840359700009603,,1.8572832509781827
ddmof_1008,0.0,9.0,,2.0895852,,2.08053212634761,,4.3246446,,2.1116601973603197,,2.100135161908609,,2.107453406766728,,2.0894436573504556
ddmof_1008,0.0,10.0,,2.3359776,,2.3582594558857366,,4.3657436,,2.321265897179644,,2.3216128956157442,,2.3283371364796195,,2.321604063722728
ddmof_1008,0.1,0.01,0.0035017,0.0022926,0.006307187007601485,0.002133096032715148,,,,,0.0017203979863235337,0.002201285745493477,0.008005761821182669,0.00221018239409819,0.002308518717437785,0.0020893985421519966
ddmof_1008,0.1,0.1,0.0269146,0.0220781,0.05581119826849256,0.02180299479725586,,,,,0.017198580055142562,0.021998924252759688,0.07300230749395918,0.0212302371753442,0.02307216118678195,0.020889927043113484
ddmof_1008,0.1,0.2,0.0590032,0.04491,0.10483486303547755,0.04431057539063071,,,,,0.03438517285522303,0.04396692281223861,0.13397031491490938,0.04099325022941248,0.04611540550463036,0.041770843859359634
ddmof_1008,0.1,0.3,0.0976635,0.0679774,0.15440598248275653,0.06463652751249375,,,,,0.05155979781938044,0.06590405396113792,0.1868592106802841,0.0598090260054617,0.0691297798873421,0.06264276368144965
ddmof_1008,0.1,0.4,0.1177238,0.0896865,0.18611831816952012,0.08765381378353561,,,,,0.06872247432359373,0.08781037583947535,0.23407811878921075,0.07800146470255019,0.09211533117001747,0.08350569971792635
ddmof_1008,0.1,0.5,0.1346357,0.1148188,0.2263091634202709,0.111810233012055,,,,,0.08587322170079001,0.109685946445028,0.277173138802293,0.09578088646014618,0.11507210608932177,0.10435966515321386
ddmof_1008,0.1,0.6,0.1669127,0.1366378,0.26521591380330956,0.13184134289407673,,,,,0.10301205924102778,0.13153082363369972,0.31717898527007987,0.1132881937973174,0.13800015128373377,0.1252046731476792
ddmof_1008,0.1,0.7,0.220946,0.1618172,0.29664266998772076,0.15664211405268397,,,,,0.12013900619156712,0.1533450651199978,0.35481238257353964,0.1306200195421407,0.16089951329379742,0.1460407368376896
ddmof_1008,0.1,0.8,0.2190538,0.1784543,0.34970257328899074,0.1762058813186423,,,,,0.13725408175699796,0.17512872847745078,0.39058429744003714,0.14784378109294996,0.1837702385623849,0.16686786933565784
ddmof_1008,0.1,0.9,0.2295119,0.2017415,0.3824227770329494,0.19715467276353693,,,,,0.1543573050993719,0.19688187113902078,0.42486803843328774,0.1650070703428199,0.2066123734349339,0.18768608373011228
